id,slug,name,city,country,continent,latitude,longitude,startDate,endDate,eventTypes,partyEnergy,visualSpectacle,culturalDepth,tourismDensity,averagePulse,defaultAppScore,bestFor,description,travelNotes,officialWebsite,imageUrl,galleryImageCount
awa-odori,awa-odori,Awa Odori,Tokushima,Japan,Asia,34.0658,134.5593,2026-08-12,2026-08-15,music; cultural_heritage,5,4,5,4,4.5,4,Cultural immersion; Traditional heritage; Photography,"Awa Odori is Japan's largest dance festival, held annually in Tokushima during Obon season. Over 1.3 million spectators watch 100,000 performers dance through the city in coordinated troupes called ren. The chant is famous across Japan: 'The dancing fool and the watching fool are both fools — so why not dance?' Performers wear traditional straw hats and yukata, moving in a distinctive two-beat rhythm through the city's main arteries. The festival traces its origins to 1586 and has been unbroken for over 400 years.",Book accommodation 3–4 months ahead — Tokushima fills completely. The main paid viewing stands sell out fast but free street viewing is excellent. Trains from Osaka take about 2 hours via the Mugi Line. Evening sessions (6pm–10pm) are the most atmospheric. Comfortable walking shoes essential — you'll cover a lot of ground following different ren troupes.,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Awa_Odori_Tokushima.jpg/1280px-Awa_Odori_Tokushima.jpg,0
baalbek-festival,baalbek-festival,Baalbek International Festival,Baalbek,Lebanon,Asia,34.004,36.2179,2026-07-03,2026-08-02,arts; cultural_heritage,3,5,5,2,3.75,2,Arts and design; Cultural immersion; Traditional heritage,"Baalbek International Festival stages classical music, opera, ballet, and world music concerts inside the 2,000-year-old Roman temple complex of Baalbek — the most intact Roman ruins in the Middle East. The Temple of Bacchus serves as backstage; the Great Court of the Temple of Jupiter becomes the main stage. Artists including Fairouz, Ella Fitzgerald, Herbert von Karajan, and Miles Davis have performed here. Check Lebanon travel advisories before planning.","Lebanon's political and security situation requires monitoring before booking. The festival runs July–August. Baalbek is 85km from Beirut in the Bekaa Valley, about 1.5 hours by road. The ruins themselves (one of Lebanon's two UNESCO sites) justify the visit regardless of the festival programme. July evenings at Baalbek are warm and the ruins are illuminated.",,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Baalbek_temple.jpg/1280px-Baalbek_temple.jpg,0
bali-arts-festival,bali-arts-festival,Bali Arts Festival,Denpasar,Indonesia,Asia,-8.6705,115.2126,2026-06-13,2026-07-11,arts; cultural_heritage,4,5,5,3,4.25,3,Cultural immersion; Traditional heritage; Arts and design,"The Bali Arts Festival (Pesta Kesenian Bali) is a month-long celebration of Balinese performing arts held at the Taman Werdhi Budaya Arts Centre in Denpasar. Every district of Bali sends its finest dancers, musicians, and craftspeople to compete and perform. Kecak fire dance, Legong, Barong, shadow puppetry, gamelan orchestras, and traditional weaving demonstrations run daily. The opening procession alone — a kilometres-long parade of regionally costumed performers — is one of the most spectacular in Asia.",June–July is dry season in Bali — ideal conditions. The Arts Centre is in Denpasar rather than the tourist hub of Seminyak/Ubud; a 30–45 minute drive. Most performances are free or very low cost. The opening ceremony parade on the first Saturday is the must-see event — arrive early for position. Evening kecak performances under the stars are particularly atmospheric.,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Bali_Arts_Festival_Denpasar.jpg/1280px-Bali_Arts_Festival_Denpasar.jpg,0
barranquilla-carnival,barranquilla-carnival,Barranquilla Carnival,Barranquilla,Colombia,South America,10.9685,-74.7813,2026-02-14,2026-02-17,carnival_parade; cultural_heritage,5,5,4,3,4.25,3,Street celebrations; Music lovers; Photography,"The Barranquilla Carnival (Spanish: Carnaval de Barranquilla) is one of Colombia's most important folkloric celebrations, and one of the biggest carnivals in the world. The carnival has traditions that date back to the 19th century. Four days before Lent, Barranquilla decks itself out to receive national and foreign tourists to join together with the city's inhabitants to enjoy four days of intense festivities. During the carnival, Barranquilla's normal activities are put aside as the city gets busy with street dances, musical and masquerade parades. The Carnival Of Barranquilla includes dances such as the Spanish paloteo, African Congo, and indigenous mice y mica's. Many styles of Colombian music are also performed, most prominently cumbia, and instruments include drums and wind ensembles.…","Barranquilla, Colombia, in February usually lines up with summer heat for travelers—afternoon UV and crowds stack up—hydrate, schedule outdoor blocks earlier or later in the day. Compare stays on both sides of the core venue cluster—cross-town transit can be faster than walking when Barranquilla Carnival compresses foot traffic. Barranquilla often publishes temporary parade detours only days ahead—save offline maps, favor rail where possible, and stake viewing spots well before the first float. Useful searches: “Barranquilla Carnival 2026 official tickets”, “Barranquilla February road closures transit”, “Colombia travel advisory”, “Barranquilla Carnival Barranquilla visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/c/cb/Carnaval_de_barranquilla.png,2
basel-fasnacht,basel-fasnacht,Basel Fasnacht,Basel,Switzerland,Europe,47.5596,7.5886,2026-02-23,2026-02-25,carnival_parade; cultural_heritage; arts,3,5,5,4,4.25,4,Parades; European carnival; Night procession,"The Carnival of Basel (German: Basler Fasnacht) is the biggest carnival in Switzerland. Basler Fasnacht takes place annually between February and March in Basel. It has been listed as one of the top fifty local festivities in Europe. Since 2017, the Carnival of Basel has been included in UNESCO's intangible cultural heritage.","Basel, Switzerland, in February usually lines up with winter norms for travelers—short daylight and cold snaps are common—insulated layers and grippy soles matter. If prices spike in the historic center, look at a Basel neighborhood one or two metro stops out, then ride in for peak sessions of Basel Fasnacht. Basel often publishes temporary parade detours only days ahead—save offline maps, favor rail where possible, and stake viewing spots well before the first float. Useful searches: “Basel Fasnacht 2026 official tickets”, “Basel February road closures transit”, “Switzerland travel advisory”, “Basel Fasnacht Basel visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Basel_-_M%C3%BCnsterpfalz1.jpg/1920px-Basel_-_M%C3%BCnsterpfalz1.jpg,2
bastille-day-celebrations,bastille-day-celebrations,Bastille Day — Paris,Paris,France,Europe,48.8566,2.3522,2026-07-14,2026-07-14,civic_national_holiday; cultural_heritage,4,5,4,4,4.25,4,Summer travel; Photography; Romantic getaway,"Bastille Day is the common name given in English-speaking countries to the national day of France, which is celebrated on 14 July each year. It is referred to, both legally and commonly, as le 14 juillet (French: [lə katɔʁz(ə) ʒɥijɛ]) in French, though la fête nationale is also used in the press. French National Day is the anniversary of the Storming of the Bastille on 14 July 1789, a major event of the French Revolution, as well as the Fête de la Fédération that celebrated the unity of the French people on 14 July 1790. Celebrations are held throughout France. One that has been reported as ""the oldest and largest military parade in Europe"" is held on 14 July on the Champs-Élysées in Paris in front of the President of France, along with other French officials and foreign guests.","Paris, France, in July usually lines up with summer heat for travelers—afternoon UV and crowds stack up—hydrate, schedule outdoor blocks earlier or later in the day. If prices spike in the historic center, look at a Paris neighborhood one or two metro stops out, then ride in for peak sessions of Bastille Day — Paris. Useful searches: “Bastille Day — Paris 2026 official tickets”, “Paris July road closures transit”, “France travel advisory”, “Bastille Day — Paris Paris visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Feu_d%27artifice_du_14_juillet_2017_depuis_le_champ_de_Mars_%C3%A0_Paris%2C_devant_la_Tour_Eiffel%2C_Bastille_day_2017_%2835118978683%29.jpg/1920px-Feu_d%27artifice_du_14_juillet_2017_depuis_le_champ_de_Mars_%C3%A0_Paris%2C_devant_la_Tour_Eiffel%2C_Bastille_day_2017_%2835118978683%29.jpg,2
batalla-del-vino-haro,batalla-del-vino-haro,Batalla del Vino Haro,Haro,Spain,Europe,42.5769,-2.8466,2026-06-27,2026-06-29,seasonal; food_drink; cultural_heritage,4,4,4,3,3.75,3,Food travel; Street celebrations; Summer travel,"We couldn’t match a solid English Wikipedia entry for “Batalla del Vino Haro” automatically. If you send us a short, verifiable blurb (or a Wikipedia/Wikidata link), we’ll drop it in festival-content-manual.ts. For now: this event is associated with Haro, Spain, around your listed dates—double-check schedules with organizers.","Haro, Spain, in June usually lines up with summer heat for travelers—afternoon UV and crowds stack up—hydrate, schedule outdoor blocks earlier or later in the day. Lock lodging with easy access to the main festival spine in Haro; corridors nearest the route book out first for Batalla del Vino Haro. Tasting-led days around Batalla del Vino Haro move faster with small cash, translation of common allergens handy, and a light breakfast before long lunch queues in Haro. Batalla del Vino Haro hinges on outdoor conditions around Haro—monitor wind and precipitation the week of travel and tuck a packable waterproof in your day bag. Useful searches: “Batalla del Vino Haro 2026 official tickets”, “Haro June road closures transit”, “Spain travel advisory”, “Batalla del Vino Haro Haro visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Batalla_del_Vino_-_Haro_-_La_Rioja.jpg/1920px-Batalla_del_Vino_-_Haro_-_La_Rioja.jpg,2
battle-of-the-oranges,battle-of-the-oranges,Battle of the Oranges — Ivrea,Ivrea,Italy,Europe,45.4676,7.8769,2026-02-15,2026-02-17,historical; carnival_parade,4,5,4,3,4,3,Unusual traditions; Action-packed events; Northern Italy trips,"Ivrea’s Battle of the Oranges is the headline event of the city’s historic carnival in Piedmont, where teams on foot and in carts stage a symbolic orange battle through the old town. The modern format runs across carnival days and draws large crowds around key squares and route segments.","If you want close views, wear waterproof layers and eye protection: orange impact is real in active zones. Book lodging in Ivrea early or base in Turin with train connections.",,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Copy_after_Jan_van_Huchtenburgh_%28Haarlem_1647-Amsterdam_1733%29_-_The_Battle_of_Oudenarde%2C_1708._-_RCIN_404900_-_Royal_Collection.jpg/1920px-Copy_after_Jan_van_Huchtenburgh_%28Haarlem_1647-Amsterdam_1733%29_-_The_Battle_of_Oudenarde%2C_1708._-_RCIN_404900_-_Royal_Collection.jpg,2
belgrade-beer-fest,belgrade-beer-fest,Belgrade Beer Fest,Belgrade,Serbia,Europe,44.7866,20.4489,2026-08-13,2026-08-16,food_drink; music,5,4,2,4,3.75,4,Food travel; Nightlife; Summer travel,"The Belgrade Beer Fest (Serbian: Београдски фестивал пива / Beogradski festival piva) is an annual festival of beer in Belgrade, Serbia. Started in 2003, the festival is held annually over five days each August as a showcase event for various beer producers. In addition to domestic and foreign brews, the festival features live music performances each evening. It has quickly grown in size and popularity: in 2004, it attracted over 75,000 foreign visitors to Belgrade, and in 2005, it was the second most visited festival in Serbia with 300,000 visitors. In 2009, it attracted more than 650,000 visitors, and in 2010, the festival attracted about 900,000 visitors. No festival was held in 2020. The festival entrance was free until 2023.","Belgrade, Serbia, in August usually lines up with summer heat for travelers—afternoon UV and crowds stack up—hydrate, schedule outdoor blocks earlier or later in the day. Lock lodging with easy access to the main festival spine in Belgrade; corridors nearest the route book out first for Belgrade Beer Fest. For Belgrade Beer Fest, confirm age limits, re-entry rules, and whether the site is cashless; ear protection helps on main stages and near delay towers. Useful searches: “Belgrade Beer Fest 2026 official tickets”, “Belgrade August road closures transit”, “Serbia travel advisory”, “Belgrade Beer Fest Belgrade visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/b/b4/Amstel-beer-fest-beograd-atipiks-2009.jpg,2
beltane-fire-festival,beltane-fire-festival,Beltane Fire Festival,Edinburgh,United Kingdom,Europe,55.9533,-3.1883,2026-04-30,2026-04-30,seasonal; cultural_heritage,4,5,4,4,4.25,4,Street celebrations; Photography; Traditional heritage,"The Beltane Fire Society is a charity run by a board of volunteers, who oversee the year-round operation of the organisation responsible for the Beltane Fire Festival. The society is funded entirely by donations through its membership, from Beltane Fire Festival ticket sales, and from merchandising. It receives no donations from any public funds. The Beltane Fire Society organises the Beltane Fire Festival on Calton Hill and the Samhuinn Fire Festival on the Royal Mile, both in Edinburgh, Scotland. The society was formed in 1988 for the second Beltane Fire Festival (the first on Calton Hill). The Beltane Fire Society also organises events for the other Celtic cross-quarter days, i.e., Imbolc and Lughnasadh and Samhuinn.","Edinburgh, United Kingdom, in April usually lines up with spring shoulder-season for travelers—showers swing temperature quickly—carry a compact shell plus a lighter mid-layer. Lock lodging with easy access to the main festival spine in Edinburgh; corridors nearest the route book out first for Beltane Fire Festival. Beltane Fire Festival hinges on outdoor conditions around Edinburgh—monitor wind and precipitation the week of travel and tuck a packable waterproof in your day bag. Useful searches: “Beltane Fire Festival 2026 official tickets”, “Edinburgh April road closures transit”, “United Kingdom travel advisory”, “Beltane Fire Festival Edinburgh visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Edinburgh_Beltane_Fire_Festival_2012_-_Bonfire.JPG/1920px-Edinburgh_Beltane_Fire_Festival_2012_-_Bonfire.JPG,2
bergkirchweih-erlangen,bergkirchweih-erlangen,Bergkirchweih Erlangen,Erlangen,Germany,Europe,49.5898,11.0117,2026-05-15,2026-05-26,seasonal; food_drink; cultural_heritage,4,4,3,3,3.5,3,Food travel; Group trips; Traditional heritage,"The Bergkirchweih is an annual Volksfest (beer festival and travelling funfair) in Erlangen, Germany. Locals nickname it Berch, which is the East Franconian pronunciation of the German word Berg, meaning mountain or hill. The Bergkirchweih starts on the Thursday before Pentecost at 5 PM. The opening ceremony, called ""Anstich,"" is performed by the city's mayor and takes place each year at a different beer cellar, which traditionally serves as the storage and cooling facility for local breweries. Thousands of people gather to witness this inaugural event, eagerly awaiting the opportunity to receive a stein of free beer from the first barrel. According to tradition, twelve days later, the last beer barrel is ceremonially buried at the cellar where the next Anstich will occur.…","Erlangen, Germany, in May usually lines up with spring shoulder-season for travelers—showers swing temperature quickly—carry a compact shell plus a lighter mid-layer. Lock lodging with easy access to the main festival spine in Erlangen; corridors nearest the route book out first for Bergkirchweih Erlangen. Tasting-led days around Bergkirchweih Erlangen move faster with small cash, translation of common allergens handy, and a light breakfast before long lunch queues in Erlangen. Bergkirchweih Erlangen hinges on outdoor conditions around Erlangen—monitor wind and precipitation the week of travel and tuck a packable waterproof in your day bag. Useful searches: “Bergkirchweih Erlangen 2026 official tickets”, “Erlangen May road closures transit”, “Germany travel advisory”, “Bergkirchweih Erlangen Erlangen visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Bergkirchweih_Erlangen_2009_010.JPG/1920px-Bergkirchweih_Erlangen_2009_010.JPG,2
birkirkara-st-helen-feast,birkirkara-st-helen-feast,Birkirkara St Helen Feast,Birkirkara,Malta,Europe,35.8972,14.4619,2026-08-14,2026-08-18,religious_spiritual; carnival_parade; cultural_heritage,4,5,4,3,4,3,Traditional heritage; Street celebrations; Photography,"St Helen's Basilica (Maltese: Il-Bażilika ta' Sant' Elena) is an 18th-century Roman Catholic church situated in Birkirkara, Malta. It is built on the baroque design by Salvu Borg and built by Mason Domenico Cachia. The design was inspired by, and is similar to, the Mdina Cathedral by Lorenzo Gafa. It was built to replace the role of the main old Parish Church of St. Mary (still parish church of the area) that was damaged in the 1856 earthquake. It eventually became the Collegiate Church and then a Minor Basilica. The current parish archpriest is Mons Louis Suban.","Birkirkara, Malta, in August usually lines up with summer heat for travelers—afternoon UV and crowds stack up—hydrate, schedule outdoor blocks earlier or later in the day. If prices spike in the historic center, look at a Birkirkara neighborhood one or two metro stops out, then ride in for peak sessions of Birkirkara St Helen Feast. Birkirkara often publishes temporary parade detours only days ahead—save offline maps, favor rail where possible, and stake viewing spots well before the first float. Useful searches: “Birkirkara St Helen Feast 2026 official tickets”, “Birkirkara August road closures transit”, “Malta travel advisory”, “Birkirkara St Helen Feast Birkirkara visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/St_Helen_Parish_Church_Birkirkara_Malta_-1244497030.jpeg/1920px-St_Helen_Parish_Church_Birkirkara_Malta_-1244497030.jpeg,2
