Rank	Name	City	Country	Continent	Start	End	Party	Visual	Cultural	Tourism	Avg Pulse	Event Types	Best For	Description
11	Gion Matsuri Yamaboko Junko	Kyoto	Japan	Asia	2026-07-17	2026-07-24	4	5	5	5	4.75	cultural_heritage, religious_spiritual	Cultural immersion, Traditional heritage, Photography	The Yamaboko Junko processions are the centrepiece of Kyoto's month-long Gion Matsuri — Japan's most famous festival. On July 17 and 24, enormous wooden floats (some 25 metres tall and weighing 12 tonnes) are pulled through the city centre by teams of men in traditional dress. The floats carry musicians playing the haunting Gion bayashi music and are decorated with Nishijin-ori tapestries, some dating to the 16th century. UNESCO Intangible Cultural Heritage. The evenings before each procession (Yoiyama) are street festivals with stalls and open float viewing.
12	Glastonbury Festival	Pilton	United Kingdom	Europe	2026-06-24	2026-06-28	5	5	3	5	4.5	music	Music lovers, Summer travel, Group trips	The Glastonbury Festival of Contemporary Performing Arts (commonly referred to as simply Glastonbury Festival, known colloquially as Glasto) is a five-day festival of contemporary performing arts held near Pilton, Somerset, England, in most summers. In addition to contemporary music, the festival hosts dance, comedy, theatre, circus, cabaret and other arts. Leading pop and rock artists have headlined, alongside thousands of others appearing on smaller stages and performance areas. Films and albums have been recorded at the festival, and it receives extensive television and newspaper coverage. Glastonbury takes place on 1,500 acres (610 ha) of farmland and is attended by around 200,000 people, requiring extensive security, transport, water, and electricity-supply infrastructure.…
13	Hogmanay	Edinburgh	United Kingdom	Europe	2026-12-31	2027-01-01	5	5	4	5	4.75	civic_national_holiday, cultural_heritage	Winter travel, Group trips, Street celebrations	Hogmanay ( HOG-mə-nay, -⁠NAY, Scots: [ˌhɔɡməˈneː]) is the Scots word for the last day of the old year and is synonymous with the celebration of the New Year in the Scottish manner. It is normally followed by further celebration on the morning of New Year's Day (1 January) and, in some cases, 2 January—a Scottish bank holiday. In a few contexts, the word Hogmanay is used more loosely to describe the entire period consisting of the last few days of the old year and the first few days of the new year. For instance, not all events held under the banner of Edinburgh's Hogmanay take place on 31st of December. Customs vary throughout Scotland and usually include gift-giving and visiting the homes of friends and neighbours, with particular attention given to the first-foot, the first guest of the new year.
14	Isle of MTV Malta	Floriana	Malta	Europe	2026-07-16	2026-07-18	5	4	2	5	4	music	Music lovers, Summer travel, Nightlife	Isle of MTV is an annual music festival organized by MTV, which is part of Paramount. A key fixture in Europe's festival calendar, it has been held in Malta since 2007 while previous editions were held in Portugal, France, Spain and Italy. Now in its 15th year, Isle of MTV is Europe's largest free festival and is annually attended by tens of thousands of people. Fans can register for tickets via isleofmtv.com The one-night festival is organized annually in July. It begins at 18:00 and ends before midnight. Malta Public Transport runs special bus routes on the day to facilitate travel.
15	Istanbul Tulip Festival	Istanbul	Turkey	Europe	2026-04-01	2026-04-30	3	5	4	5	4.25	seasonal, cultural_heritage	Photography, Romantic getaway, Cultural immersion	Tulip festivals are held in several cities around the world, mostly in North America, usually in cities with a Dutch heritage such as Albany, New York; Ottawa, Ontario; Gatineau, Quebec; Montreal, Quebec; Holland, Michigan; Lehi, Utah; Orange City, Iowa; Pella, Iowa; Mount Vernon, Washington; and Woodburn, Oregon, and in other countries such as New Zealand, Australia, India, and England. The tulips are considered a welcome harbinger of spring, and a tulip festival permits residents to see them at their best advantage. The festivals are also popular tourist attractions. The tulips are displayed throughout the cities. In certain years the peak of tulips does not coincide with the actual festival due to climatic conditions.…
16	King's Day — Amsterdam	Amsterdam	Netherlands	Europe	2026-04-27	2026-04-27	5	4	4	5	4.5	civic_national_holiday, carnival_parade	Canal parties, Day drinking, Street markets	King’s Day in Amsterdam marks the Dutch monarch’s birthday with citywide street markets, canal traffic, live music, and orange-themed celebrations each April. Central districts become pedestrian-heavy all day and into the night.
17	Kumbh Mela	Prayagraj	India	Asia	2027-01-13	2027-02-26	5	5	5	5	5	religious_spiritual, cultural_heritage	Cultural immersion, Religious significance, Photography	Kumbh Mela is the largest peaceful gathering of humans on earth — the 2025 Prayagraj edition drew over 400 million visitors over 45 days. Held at the confluence of the Ganges, Yamuna, and mythical Saraswati rivers, pilgrims come to bathe on auspicious dates (Shahi Snan) believing it will cleanse sins and break the cycle of rebirth. The scale defies comprehension: tent cities larger than many capital cities, 150km of temporary roads, and a temporary population exceeding most countries. Next Maha Kumbh: 2025 (just passed). Next Kumbh: 2027 in Prayagraj.
18	La Merce	Barcelona	Spain	Europe	2026-09-24	2026-09-27	5	5	4	5	4.75	civic_national_holiday, carnival_parade	Street celebrations, Summer travel, Photography	La Mercè is Barcelona’s annual city festival in late September, with giants and human towers, correfoc fire-runs, concerts, and large-scale public programming across multiple districts. It is one of the city’s largest civic celebrations.
19	La Tomatina — Buñol	Buñol	Spain	Europe	2026-08-26	2026-08-26	5	4	3	5	4.25	seasonal, carnival_parade	Friends trip, Fun chaos, One-day thrill	La Tomatina (Spanish pronunciation: [la tomaˈtina]) is a Spanish festival in Buñol, Spain where participants throw tomatoes at each other. It is said to be the biggest food fight in the world. From the festival's origin as a food fight between friends in the 1940s, it has become a famous tourist attraction. Until 2013 there was no limit to the number of participants; in 2013 the festival became a ticketed event for no more than 20,000, so as not to overwhelm Buñol's population of about 9,000 people.
20	Las Fallas — Valencia	Valencia	Spain	Europe	2026-03-15	2026-03-19	5	5	5	5	5	carnival_parade, cultural_heritage, seasonal	Fireworks, Street energy, Visual spectacle	The Fallas (Valencian: Falles; Spanish: Fallas) is a traditional celebration held annually in the city of Valencia, Spain; it is the patronal festival of the town. The five main days celebrated are from 15 to 19 March, while the Mascletà, a pyrotechnic spectacle of firecracker detonation, takes place every day from 1 to 19 March. The term Fallas refers to both the celebration and the Falla monuments (Falla, singular; Fallas/Falles, plural) burnt during the celebration. The Fallas (Falles in Valencian) festival was added to UNESCO's intangible cultural heritage of humanity list on 30 November 2016. A number of towns in the Valencian Community have similar celebrations inspired by the original Fallas de Valencia festival. For example, the Bonfires of Saint John (Hogueras de San Juan or Fogueres de Sant Joan) in Alicante or the Fiestas de la Magdalena in Castellón de la Plana.…
21	Mardi Gras New Orleans	New Orleans	United States	North America	2026-02-06	2026-02-17	5	5	4	5	4.75	carnival_parade, cultural_heritage	Street celebrations, Music lovers, Group trips	The holiday of Mardi Gras is celebrated in southern Louisiana, including the city of New Orleans. Celebrations happen for about two weeks, culminating on Mardi Gras (French for "Fat Tuesday"), a celebratory name for Shrove Tuesday, the day before Ash Wednesday, which is the start of Lent in the Western Christian tradition. The overall season is known as Carnival and begins on 12th Night, January 6th, and extends until midnight before Ash Wednesday. Parties known as Club or Krewe balls start soon after, many of which are private, with their Kings and Queens coming from wealthy old families and their courts consisting of the season's debutantes. Most of the high society Krewes do not stage parades. As Fat Tuesday approaches, Mardi Gras parades start in earnest. Usually there is one major parade scheduled each day, while many days have several large parades.…
22	Notting Hill Carnival — London	London	United Kingdom	Europe	2026-08-30	2026-08-31	5	5	4	5	4.75	carnival_parade, music, cultural_heritage	Street dance, Sound systems, Urban carnival	The Notting Hill Carnival is an annual Caribbean Carnival event that has taken place in London since 1966 on the streets of the Notting Hill area of Kensington, over the August Bank Holiday weekend. It is led by members of the British Caribbean community, and attracts around two million people annually, making it one of the world's largest street festivals, the largest in Europe, and a significant event in British African Caribbean and British Indo-Caribbean culture. In 2006, the UK public voted the Notting Hill Carnival onto a list of icons of England. Carnival traditionally commences on the Saturday with Panorama, a competition between steelpan bands. Sunday is designated family and children's day, with a shorter parade route for young people. The main adult parade takes place on Monday.…
23	Nuit Blanche Paris	Paris	France	Europe	2026-10-03	2026-10-04	3	5	4	5	4.25	arts, music	Art and design, Nightlife, Photography	Nuit Blanche (French pronunciation: [nɥi ˈblɑ̃ʃ]) (Sleepless Night) is an annual all-night or night-time arts festival of a city. A Nuit Blanche typically has museums, private and public art galleries, and other cultural institutions open and free of charge, with the centre of the city itself being turned into a de facto art gallery, providing space for art installations, performances (music, film, dance, performance art), themed social gatherings, and other activities.
24	Oktoberfest — Munich	Munich	Germany	Europe	2026-09-19	2026-10-04	5	4	4	5	4.5	food_drink, cultural_heritage	Group travel, Beer culture, Festive atmosphere	Oktoberfest (German pronunciation: [ɔkˈtoːbɐˌfɛst] ; Bavarian: Oktobafest/d'Wiesn) is the world's largest Volksfest. It combines a beer festival with a fun fair and is held annually in Munich on the Theresienwiese from mid-September to the first Sunday in October. The event draws around seven million visitors each year. In 2023, attendance reached a record 7.2 million. Visitors consumed approximately 7.4 million litres of beer. The festival features amusement rides, games, food stalls, and traditional Bavarian dishes. The first Oktoberfest was held on 12 October 1810 to celebrate the wedding of Crown Prince Ludwig and Princess Therese of Saxony-Hildburghausen. Since then, the festival has been cancelled on multiple occasions, most recently in 2020 and 2021 during the COVID-19 pandemic in Germany.
25	Prague Christmas Markets	Prague	Czech Republic	Europe	2026-11-28	2026-12-24	3	5	3	5	4	seasonal, food_drink	Winter travel, Romantic getaway, Food travel	This is a list of Christmas markets from around the world. Christmas markets are listed using their unique name. The list is ordered by continent and then by country.
26	Rio Carnival	Rio de Janeiro	Brazil	South America	2026-02-13	2026-02-21	5	5	5	5	5	carnival_parade, cultural_heritage	Nightlife, Photography, Big social energy	The Carnival in Rio de Janeiro (Portuguese: Carnaval do Rio de Janeiro) is a festival held every year before Lent; it is considered the biggest celebration of Carnival in the world, with two million people per day on the streets. The first Carnival festival in Rio occurred in 1723. The typical Rio Carnival parade is filled with revelers, floats, and adornments from numerous samba schools which are located in Rio (more than 200 approximately, divided into five leagues/divisions). A samba school is composed of a collaboration of local neighbours that want to attend the carnival together, with some kind of regional, geographical and common background. There is a special order that every school has to follow with their parade entries. Each school begins with the "comissão de frente" (meaning "Front Commission"), that is the group of people from the school that appear first.…
27	San Fermín — Pamplona	Pamplona	Spain	Europe	2026-07-06	2026-07-14	5	5	5	5	5	cultural_heritage, carnival_parade	Adrenaline, Traditional Spain, High-energy travel	San Fermín in Pamplona runs each July with the encierro (running of the bulls), daily festivities, concerts, and traditional ceremonies. The morning bull run through the old town route is the best-known segment, but the festival spans a full-day city program.
28	Sapporo Snow Festival	Sapporo	Japan	Asia	2026-02-05	2026-02-11	3	5	3	5	4	seasonal, arts	Photography, Winter travel, Family-friendly	Sapporo Snow Festival (Yuki Matsuri) transforms three city sites into a landscape of enormous snow and ice sculptures. The Odori Park site hosts the largest sculptures — some reaching 15 metres high, depicting everything from world landmarks to anime characters. Teams from countries around the world compete in the international snow sculpture contest. The festival draws around 2 million visitors across its 7-day run and is one of Japan's most famous winter events. Night illumination of the sculptures is arguably the highlight.
29	Semana Santa — Seville	Seville	Spain	Europe	2026-03-29	2026-04-05	1	5	5	5	4	religious_spiritual, historical, cultural_heritage	Religious heritage, Processions, Sacred traditions	Semana Santa is the Spanish for Holy Week, the final week of Lent leading to Easter. In Spanish speaking cultures as well as the Philippines this becomes an annual tribute of the Passion of Jesus Christ celebrated by Catholic religious brotherhoods (Spanish: cofradías) and confraternities that process on the streets of many Spanish speaking towns and cities during Holy Week. In some parts of Latin America it became part of the acculturation of pre conquest beliefs into Catholic culture.
30	Songkran Water Festival	Chiang Mai	Thailand	Asia	2026-04-13	2026-04-15	5	4	4	5	4.5	seasonal, cultural_heritage	Adrenaline seekers, Cultural immersion, Group trips	Songkran is the Thai New Year water festival — and Chiang Mai hosts the most famous version in the world. The old city moat becomes a battleground for three days of near-continuous water fighting, with locals and tourists equally armed with water guns, buckets, and hoses. But Chiang Mai's version retains genuine cultural depth: sand chedis built at temples, Buddha images paraded through the streets for water blessing, and family merit-making ceremonies alongside the mayhem. The old city is the epicentre.
31	St. Patrick's Festival — Dublin	Dublin	Ireland	Europe	2026-03-14	2026-03-17	5	4	5	5	4.75	civic_national_holiday, cultural_heritage, religious_spiritual	Pub culture, Parades, National celebrations	Saint Patrick's Cathedral (Irish: Ard-Eaglais Naomh Pádraig) in Dublin, Ireland is the national cathedral of the Church of Ireland. Christ Church Cathedral, also a Church of Ireland cathedral in Dublin, is designated as the local cathedral of the Diocese of Dublin and Glendalough.
32	Sziget Festival — Budapest	Budapest	Hungary	Europe	2026-08-12	2026-08-17	5	5	3	5	4.5	music	Music lovers, Summer travel, Nightlife	Sziget Festival (Hungarian: Sziget Fesztivál, lit. 'Island Festival', pronounced [ˈsiɡɛt ˈfɛstivaːl]) is one of the largest music and cultural festivals in Europe. It is held every August in northern Budapest, Hungary, on Óbudai-sziget ("Old Buda Island"), a leafy 108-hectare (266-acre) island on the Danube. More than 1,000 performances take place each year. The week-long festival has grown from a relatively low-profile student event in 1993 to become one of the prominent European rock festivals, with about half of all visitors coming from outside Hungary, especially from Western Europe. It also has a dedicated "party train" service (with resident DJs) that transports festival-goers from all over Europe. The second event (1994), labelled Eurowoodstock, was headlined by performers from the original Woodstock festival. By 1997, total attendance exceeded 250,000, and by 2001 reached 360,000.…
33	Tomorrowland — Boom	Boom	Belgium	Europe	2026-07-17	2026-07-26	5	5	2	5	4.25	music, arts	EDM fans, Festival production, Group trips	Tomorrowland is a large electronic dance music festival held in Boom, Belgium, typically across two weekends in July. Since its launch in 2005 it has grown into one of the most internationally attended EDM events, known for elaborate stage design, a curated theme each edition, and a broad lineup spanning mainstream and underground electronic acts.
34	Ultra Europe Split	Split	Croatia	Europe	2026-07-10	2026-07-12	5	5	2	5	4.25	music	Music lovers, Summer travel, Nightlife	Ultra Europe is an outdoor electronic music festival based in multiple cities throughout Croatia. It is the European expansion of the American Ultra Music Festival, debuting from 12–14 July 2013, largely in Split and the island of Hvar. Two years later, the festival became a part of Destination Ultra in Dalmatia, which includes a multi-day festival and yacht regatta. The music festival is part of the broader tourism sector of Croatia and is considered "strategically important" by the Ministry of Tourism. Croatian-Canadian entrepreneur Joe Bašić has organized the festival since its founding. Ultra Europe has had a "statistically significant effect" on the local Dalmatian economy since the 2010s.
35	Venice Carnival	Venice	Italy	Europe	2026-01-31	2026-02-17	3	5	5	5	4.5	cultural_heritage, historical, carnival_parade	Photography, Historic ambiance, Costume culture	The Carnival of Venice (Italian: Carnevale di Venezia; Venetian: Carnaval de Venessia) is an annual festival held in Venice, Italy, famous for its elaborate costumes and masks. The Carnival ends on Shrove Tuesday (Martedì Grasso or Mardi Gras), which is the day before the start of Lent on Ash Wednesday. The Carnival traces its origins to the Middle Ages, existing for several centuries until it was abolished in 1797. The tradition was revived in 1979, and the modern event now attracts approximately 3 million visitors annually.
36	Albuquerque International Balloon Fiesta	Albuquerque	United States	North America	2026-10-03	2026-10-11	3	5	2	4	3.5	seasonal, arts	Photography, Family-friendly, Weekend getaway	The Albuquerque International Balloon Fiesta is a nine-day event occurring in the first full week of October in Albuquerque, New Mexico, United States. It has over 500 hot air balloons each year, far from its beginnings of merely 13 balloons in 1972. The event is the largest balloon festival in the world, as well as the most photographed annual event, attracting hundreds of thousands of visitors each year from around the globe.
37	Aste Nagusia Bilbao	Bilbao	Spain	Europe	2026-08-21	2026-08-28	5	5	4	4	4.5	carnival_parade, cultural_heritage, music	Street celebrations, Summer travel, Music lovers	Aste Nagusia or "The Great Week" (Basque: Bilboko Aste Nagusia, Spanish: Semana Grande de Bilbao) is the main festival of Bilbao, Basque Country, Spain, which is celebrated annually over 9 days beginning on the first Saturday following 15 August, the festivity of the Assumption of Our Lady.
38	Athens Epidaurus Festival	Athens	Greece	Europe	2026-06-01	2026-08-31	2	5	5	4	4	arts, music	Cultural immersion, Summer travel, Traditional heritage	Athens – Epidaurus Festival is an annual arts festival that takes place in Athens and Epidaurus, from May to October. It is one of the most famous festivals in Greece. It is held every year during the summer months (Fridays and Saturdays in July and August), in part in the ancient theatre of Epidaurus, on the archaeological site of the Asclepion. The festival includes musical, theatrical and other cultural events. They include performances of tragedies by Aeschylus, Sophocles and Euripides, as well as surviving comedies by Aristophanes; some performances consist simply of revivals of ancient myths or contemporary plays written on the basis of ancient dramas.
39	Awa Odori	Tokushima	Japan	Asia	2026-08-12	2026-08-15	5	4	5	4	4.5	music, cultural_heritage	Cultural immersion, Traditional heritage, Photography	Awa Odori is Japan's largest dance festival, held annually in Tokushima during Obon season. Over 1.3 million spectators watch 100,000 performers dance through the city in coordinated troupes called ren. The chant is famous across Japan: 'The dancing fool and the watching fool are both fools — so why not dance?' Performers wear traditional straw hats and yukata, moving in a distinctive two-beat rhythm through the city's main arteries. The festival traces its origins to 1586 and has been unbroken for over 400 years.
40	Basel Fasnacht	Basel	Switzerland	Europe	2026-02-23	2026-02-25	3	5	5	4	4.25	carnival_parade, cultural_heritage, arts	Parades, European carnival, Night procession	The Carnival of Basel (German: Basler Fasnacht) is the biggest carnival in Switzerland. Basler Fasnacht takes place annually between February and March in Basel. It has been listed as one of the top fifty local festivities in Europe. Since 2017, the Carnival of Basel has been included in UNESCO's intangible cultural heritage.
41	Bastille Day — Paris	Paris	France	Europe	2026-07-14	2026-07-14	4	5	4	4	4.25	civic_national_holiday, cultural_heritage	Summer travel, Photography, Romantic getaway	Bastille Day is the common name given in English-speaking countries to the national day of France, which is celebrated on 14 July each year. It is referred to, both legally and commonly, as le 14 juillet (French: [lə katɔʁz(ə) ʒɥijɛ]) in French, though la fête nationale is also used in the press. French National Day is the anniversary of the Storming of the Bastille on 14 July 1789, a major event of the French Revolution, as well as the Fête de la Fédération that celebrated the unity of the French people on 14 July 1790. Celebrations are held throughout France. One that has been reported as "the oldest and largest military parade in Europe" is held on 14 July on the Champs-Élysées in Paris in front of the President of France, along with other French officials and foreign guests.
42	Belgrade Beer Fest	Belgrade	Serbia	Europe	2026-08-13	2026-08-16	5	4	2	4	3.75	food_drink, music	Food travel, Nightlife, Summer travel	The Belgrade Beer Fest (Serbian: Београдски фестивал пива / Beogradski festival piva) is an annual festival of beer in Belgrade, Serbia. Started in 2003, the festival is held annually over five days each August as a showcase event for various beer producers. In addition to domestic and foreign brews, the festival features live music performances each evening. It has quickly grown in size and popularity: in 2004, it attracted over 75,000 foreign visitors to Belgrade, and in 2005, it was the second most visited festival in Serbia with 300,000 visitors. In 2009, it attracted more than 650,000 visitors, and in 2010, the festival attracted about 900,000 visitors. No festival was held in 2020. The festival entrance was free until 2023.
43	Beltane Fire Festival	Edinburgh	United Kingdom	Europe	2026-04-30	2026-04-30	4	5	4	4	4.25	seasonal, cultural_heritage	Street celebrations, Photography, Traditional heritage	The Beltane Fire Society is a charity run by a board of volunteers, who oversee the year-round operation of the organisation responsible for the Beltane Fire Festival. The society is funded entirely by donations through its membership, from Beltane Fire Festival ticket sales, and from merchandising. It receives no donations from any public funds. The Beltane Fire Society organises the Beltane Fire Festival on Calton Hill and the Samhuinn Fire Festival on the Royal Mile, both in Edinburgh, Scotland. The society was formed in 1988 for the second Beltane Fire Festival (the first on Calton Hill). The Beltane Fire Society also organises events for the other Celtic cross-quarter days, i.e., Imbolc and Lughnasadh and Samhuinn.
44	Bohemian Carnevale	Prague	Czech Republic	Europe	2026-02-14	2026-02-17	4	5	3	4	4	carnival_parade	Street celebrations, Winter travel, Photography	Masopust (feminine Masopustová) is a Czech surname (meaning carnival), it may refer to: Masopust, the Slavic carnival Josef Masopust (1931–2015), Czech footballer Karel Masopust (1942–2019), Czech ice hockey player Lukáš Masopust (born 1993), Czech footballer Miloslav Masopust (1924–2026), Czech general
45	Boryeong Mud Festival	Boryeong	South Korea	Asia	2026-07-17	2026-07-26	5	3	3	4	3.75	seasonal, arts	Adrenaline seekers, Group trips, Summer travel	Boryeong Mud Festival started in 1998 as a promotion for the local cosmetics industry and has become one of Korea's most popular summer events. The mud — drawn from Boryeong's tidal flats and supposedly rich in minerals — fills massive inflatable pools, slides, and wrestling arenas on Daecheon Beach. Tens of thousands of visitors (including a large international crowd) spend days covered head to toe in grey mud, competing in mud-based contests and attending beach concerts. Unapologetically silly and genuinely fun.
46	Braderie de Lille	Lille	France	Europe	2026-09-05	2026-09-06	4	3	3	4	3.5	civic_national_holiday, food_drink, cultural_heritage	Food travel, Street celebrations, Budget-friendly	The Lille Braderie (French: Braderie de Lille) is a braderie, or annual street market/flea market, that takes place on the weekend of the first Sunday of September in Lille, France, in the northern Hauts-de-France region. It dates back to the 12th century, attracting nearly three million visitors each year. The Braderie de Lille is one of the largest gatherings in France and the largest flea market in Europe. In 2014 the Braderie was reported to host 100 km of market stalls to over 10,000 exhibitors. During the Braderie, the city hosts a music festival. The traditional food eaten during the festival, moules-frites, typically results in built-up heaps of mussel shells around the city. In 2016, the Braderie was cancelled by Lille mayor Martine Aubry, following terrorist incidents in France.
47	Burning Man	Gerlach	United States	North America	2026-08-30	2026-09-07	5	5	4	4	4.5	seasonal, arts, music	Group trips, Art and design, Adrenaline seekers	Burning Man is a week-long large-scale desert event focused on "community, art, self-expression, and self-reliance" held annually in the Western United States. The event's name comes from its ceremony on the second to last night of the event: the symbolic burning of a large wooden effigy, referred to as the Man, the Saturday evening before Labor Day. Since 1990, the event has been at Black Rock City in northwestern Nevada, a temporary city erected in the Black Rock Desert about 100 miles (160 km) north-northeast of Reno. According to Burning Man co-founder Larry Harvey in 2004, the event is guided by ten stated principles: radical inclusion, gifting, decommodification, radical self-reliance, radical self-expression, communal effort, civic responsibility, leaving no trace, participation, and immediacy.…
