Name	City	Country	Continent	Start	End	Party	Visual	Cultural	Tourism	Avg Pulse
Carnival of Cadiz	Cadiz	Spain	Europe	2026-02-12	2026-02-22	5	5	4	4	4.5
Carnival of Oruro	Oruro	Bolivia	South America	2026-02-14	2026-02-21	4	5	5	2	4
Castells Festivals	Tarragona	Spain	Europe	2026-09-23	2026-09-23	2	5	5	3	3.75
Cheese Rolling Festival	Gloucester	United Kingdom	Europe	2026-05-25	2026-05-25	5	3	3	4	3.75
Chinese New Year Hong Kong	Hong Kong	Hong Kong	Asia	2026-02-15	2026-02-19	4	5	4	5	4.5
Coachella	Indio	United States	North America	2026-04-10	2026-04-19	5	5	3	5	4.5
Cologne Karneval	Cologne	Germany	Europe	2026-02-12	2026-02-17	5	5	4	4	4.5
Crayfish Parties	Stockholm	Sweden	Europe	2026-08-07	2026-08-15	3	3	3	2	2.75
Day of the Dead Oaxaca	Oaxaca	Mexico	North America	2026-11-01	2026-11-02	4	5	5	3	4.25
Distortion Copenhagen	Copenhagen	Denmark	Europe	2026-06-03	2026-06-07	5	4	2	4	3.75
Diwali in Jaipur	Jaipur	India	Asia	2026-11-08	2026-11-12	4	5	5	4	4.5
Dragon Carnival	Ljubljana	Slovenia	Europe	2026-02-21	2026-02-21	4	4	3	3	3.5
Dubrovnik Summer Festival	Dubrovnik	Croatia	Europe	2026-07-10	2026-08-25	2	5	5	4	4
Edinburgh Fringe Festival	Edinburgh	United Kingdom	Europe	2026-08-07	2026-08-31	4	5	4	5	4.5
El Colacho	Castrillo de Murcia	Spain	Europe	2026-06-14	2026-06-14	3	3	4	2	3
Electric Castle Festival	Bontida	Romania	Europe	2026-07-16	2026-07-20	5	5	2	4	4
Entroido Verin	Verin	Spain	Europe	2026-02-08	2026-02-17	5	5	4	3	4.25
EXIT Festival — Novi Sad	Novi Sad	Serbia	Europe	2026-07-09	2026-07-12	5	5	2	4	4
Fallas Denia	Denia	Spain	Europe	2026-03-15	2026-03-19	4	5	4	3	4
Feast of St George Qormi	Qormi	Malta	Europe	2026-06-22	2026-06-28	4	5	5	3	4.25
Feast of St. Paul's Shipwreck	Valletta	Malta	Europe	2026-02-10	2026-02-10	2	3	5	3	3.25
Feria de Abril — Seville	Seville	Spain	Europe	2026-04-19	2026-04-26	5	5	5	5	5
Feria de Nimes	Nimes	France	Europe	2026-05-22	2026-05-25	4	4	4	4	4
Festa de Sao Joao	Porto	Portugal	Europe	2026-06-23	2026-06-24	5	4	4	4	4.25
Festa dei Ceri Gubbio	Gubbio	Italy	Europe	2026-05-15	2026-05-15	4	5	5	3	4.25
Festa del Redentore	Venice	Italy	Europe	2026-07-18	2026-07-19	4	5	5	5	4.75
Festa della Sensa	Venice	Italy	Europe	2026-05-24	2026-05-24	2	4	5	3	3.5
Festa di Sant Agata Catania	Catania	Italy	Europe	2026-02-03	2026-02-05	5	5	5	4	4.75
Festa Frawli	Mgarr	Malta	Europe	2026-04-12	2026-04-12	3	4	4	3	3.5
Festa San Filep Zebbug Gozo	Zebbug	Malta	Europe	2026-06-07	2026-06-14	3	4	5	2	3.5
Festa ta' San Ġorġ — Victoria, Gozo	Victoria	Malta	Europe	2026-07-12	2026-07-19	4	5	5	3	4.25
Festival d'Avignon	Avignon	France	Europe	2026-07-04	2026-07-25	3	4	5	4	4
Festival Interceltique de Lorient	Lorient	France	Europe	2026-08-07	2026-08-16	4	4	5	3	4
Fête de l'Escalade — Geneva	Geneva	Switzerland	Europe	2026-12-11	2026-12-13	2	3	5	3	3.25
Fête de la Musique — Paris	Paris	France	Europe	2026-06-21	2026-06-21	5	4	3	5	4.25
Fête des Lumières — Lyon	Lyon	France	Europe	2026-12-08	2026-12-11	2	5	5	4	4
Fetes de Bayonne	Bayonne	France	Europe	2026-07-23	2026-07-26	5	5	4	4	4.5
Fiesta de los Patios — Córdoba	Cordoba	Spain	Europe	2026-05-01	2026-05-14	2	5	5	4	4
Fiesta de San Isidro	Madrid	Spain	Europe	2026-05-15	2026-05-15	4	4	4	4	4
Fiesta Santa Marta de Ribarteme	As Neves	Spain	Europe	2026-07-29	2026-07-29	2	3	5	2	3
Fiestas del Pilar Zaragoza	Zaragoza	Spain	Europe	2026-10-07	2026-10-15	4	5	5	4	4.5
Fire Festivals of the Pyrenees	Huesca	Spain	Europe	2026-06-23	2026-06-23	4	5	4	2	3.75
Flow Festival Helsinki	Helsinki	Finland	Europe	2026-08-14	2026-08-16	5	4	3	4	4
Fuji Rock Festival	Yuzawa	Japan	Asia	2026-07-24	2026-07-26	5	4	3	3	3.75
Gentse Feesten	Ghent	Belgium	Europe	2026-07-17	2026-07-26	5	4	3	4	4
George Enescu Festival	Bucharest	Romania	Europe	2026-08-28	2026-09-27	2	5	5	3	3.75
Gion Matsuri	Kyoto	Japan	Asia	2026-07-01	2026-07-31	3	5	5	4	4.25
Glastonbury Festival	Pilton	United Kingdom	Europe	2026-06-24	2026-06-28	5	5	3	5	4.5
Greek Orthodox Easter	Athens	Greece	Europe	2026-04-10	2026-04-13	2	4	5	4	3.75
Guča Trumpet Festival	Guca	Serbia	Europe	2026-08-07	2026-08-09	5	4	5	3	4.25
Guy Fawkes Night	London	United Kingdom	Europe	2026-11-05	2026-11-05	3	5	3	4	3.75
Hafengeburtstag Hamburg	Hamburg	Germany	Europe	2026-05-08	2026-05-10	4	5	3	4	4
Hay Festival Hay on Wye	Hay-on-Wye	United Kingdom	Europe	2026-05-21	2026-05-31	2	3	5	3	3.25
Hogmanay	Edinburgh	United Kingdom	Europe	2026-12-31	2027-01-01	5	5	4	5	4.75
Holi Festival Mathura	Mathura	India	Asia	2026-03-03	2026-03-08	5	5	5	3	4.5
Holy Week Braga	Braga	Portugal	Europe	2026-03-29	2026-04-05	2	5	5	3	3.75
Iceland Airwaves	Reykjavik	Iceland	Europe	2026-11-05	2026-11-08	5	4	4	4	4.25
Infiorata di Noto	Noto	Italy	Europe	2026-05-29	2026-05-31	2	5	5	3	3.75
Isle of Man TT	Douglas	Isle of Man	Europe	2026-05-29	2026-06-12	5	4	2	4	3.75
Isle of MTV Malta	Floriana	Malta	Europe	2026-07-16	2026-07-18	5	4	2	5	4
Istanbul Tulip Festival	Istanbul	Turkey	Europe	2026-04-01	2026-04-30	3	5	4	5	4.25
Ivan Kupala Night	Kyiv	Ukraine	Europe	2026-07-06	2026-07-07	4	4	5	2	3.75
Jaanipäev — Tallinn	Tallinn	Estonia	Europe	2026-06-23	2026-06-24	4	4	5	2	3.75
Jewish Culture Festival	Krakow	Poland	Europe	2026-06-26	2026-07-04	2	3	5	3	3.25
Juhannus Helsinki	Helsinki	Finland	Europe	2026-06-19	2026-06-20	4	4	4	3	3.75
Kaziukas Fair	Vilnius	Lithuania	Europe	2026-03-06	2026-03-08	3	4	4	3	3.5
King's Day — Amsterdam	Amsterdam	Netherlands	Europe	2026-04-27	2026-04-27	5	4	4	5	4.5
Kirkpinar Oil Wrestling Festival	Edirne	Turkey	Europe	2026-07-01	2026-07-04	4	4	5	3	4
Kotor Carnival	Kotor	Montenegro	Europe	2026-02-23	2026-02-26	4	4	3	3	3.5
Krakow Wianki Festival	Krakow	Poland	Europe	2026-06-20	2026-06-21	4	4	4	3	3.75
Krampusnacht — Austria	Salzburg	Austria	Europe	2026-12-05	2026-12-05	3	5	4	3	3.75
Kukeri Festival — Pernik	Pernik	Bulgaria	Europe	2026-01-24	2026-01-26	3	5	5	2	3.75
Kurentovanje — Ptuj	Ptuj	Slovenia	Europe	2026-02-14	2026-02-17	4	5	4	3	4
La Merce	Barcelona	Spain	Europe	2026-09-24	2026-09-27	5	5	4	5	4.75
La Tomatina — Buñol	Buñol	Spain	Europe	2026-08-26	2026-08-26	5	4	3	5	4.25
Lajkonik Parade	Krakow	Poland	Europe	2026-06-11	2026-06-11	3	4	5	3	3.75
Las Fallas — Valencia	Valencia	Spain	Europe	2026-03-15	2026-03-19	5	5	5	5	5
Lewes Bonfire Night	Lewes	United Kingdom	Europe	2026-11-05	2026-11-05	4	5	4	3	4
Līgo — Riga	Riga	Latvia	Europe	2026-06-23	2026-06-24	4	4	5	3	4
Luminara di San Ranieri	Pisa	Italy	Europe	2026-06-16	2026-06-16	3	5	5	4	4.25
Maastricht Carnival	Maastricht	Netherlands	Europe	2026-03-02	2026-03-04	4	4	3	3	3.5
Madeira Carnival	Funchal	Portugal	Europe	2026-02-14	2026-02-18	4	5	3	4	4
Madeira Flower Festival	Funchal	Portugal	Europe	2026-05-02	2026-05-11	3	5	4	4	4
Madonna della Bruna Matera	Matera	Italy	Europe	2026-07-02	2026-07-02	4	5	5	3	4.25
Malanka Festival Chernivtsi	Chernivtsi	Ukraine	Europe	2026-01-13	2026-01-14	4	5	5	2	4
Malta Carnival	Valletta	Malta	Europe	2026-02-13	2026-02-17	4	5	4	4	4.25
Malta International Fireworks Festival	Valletta	Malta	Europe	2026-04-18	2026-04-30	4	5	2	4	3.75
Mardi Gras New Orleans	New Orleans	United States	North America	2026-02-06	2026-02-17	5	5	4	5	4.75
Maslenitsa	Moscow	Russia	Europe	2026-02-23	2026-03-01	4	4	5	3	4
Menton Lemon Festival (Fête du Citron)	Menton	France	Europe	2026-02-14	2026-03-03	3	5	3	4	3.75
Mnarja Nadur Gozo	Nadur	Malta	Europe	2026-06-28	2026-06-29	4	4	5	3	4
Montreux Jazz Festival	Montreux	Switzerland	Europe	2026-07-03	2026-07-18	4	5	4	4	4.25
Moros y Cristianos Alcoy	Alcoy	Spain	Europe	2026-04-22	2026-04-24	4	5	5	2	4
Mosta Assumption Feast	Mosta	Malta	Europe	2026-08-09	2026-08-15	4	5	4	4	4.25
Nadur Carnival Gozo	Nadur	Malta	Europe	2026-02-12	2026-02-17	5	5	4	3	4.25
Notte della Taranta	Melpignano	Italy	Europe	2026-08-22	2026-08-27	4	5	5	3	4.25
Notting Hill Carnival — London	London	United Kingdom	Europe	2026-08-30	2026-08-31	5	5	4	5	4.75
Nuit Blanche Paris	Paris	France	Europe	2026-10-03	2026-10-04	3	5	4	5	4.25
Obby Oss Festival	Padstow	United Kingdom	Europe	2026-05-01	2026-05-01	4	4	5	3	4
Oktoberfest — Munich	Munich	Germany	Europe	2026-09-19	2026-10-04	5	4	4	5	4.5
Olsok Trondheim	Trondheim	Norway	Europe	2026-07-29	2026-07-29	2	4	5	3	3.5
Ommegang — Brussels	Brussels	Belgium	Europe	2026-07-02	2026-07-05	3	5	5	3	4
Open'er Festival Gdynia	Gdynia	Poland	Europe	2026-07-01	2026-07-04	5	5	2	4	4
Orthodox Easter Corfu	Corfu	Greece	Europe	2026-04-10	2026-04-12	3	5	5	4	4.25
Paleni Carodejnic Prague	Prague	Czech Republic	Europe	2026-04-30	2026-04-30	4	5	4	4	4.25
Palio di Siena	Siena	Italy	Europe	2026-07-02	2026-08-16	4	5	5	4	4.5
Patras Carnival (Apokries)	Patras	Greece	Europe	2026-02-15	2026-02-22	5	5	3	3	4
Patum de Berga	Berga	Spain	Europe	2026-06-04	2026-06-07	4	5	5	2	4
Perchtenlauf — Salzburg	Salzburg	Austria	Europe	2026-12-05	2026-12-06	3	5	5	3	4
Pierogi Festival	Krakow	Poland	Europe	2026-08-14	2026-08-18	3	3	4	3	3.25
Pingxi Sky Lantern Festival	Pingxi	Taiwan	Asia	2026-02-27	2026-03-01	4	5	4	4	4.25
Pohoda Festival	Trencin	Slovakia	Europe	2026-07-10	2026-07-12	5	5	3	3	4
Prague Christmas Markets	Prague	Czech Republic	Europe	2026-11-28	2026-12-24	3	5	3	5	4
Prague Spring International Music Festival	Prague	Czech Republic	Europe	2026-05-12	2026-06-03	2	4	5	4	3.75
Pukkelpop	Hasselt	Belgium	Europe	2026-08-20	2026-08-23	5	4	2	4	3.75
Regata Storica	Venice	Italy	Europe	2026-08-30	2026-09-06	3	5	5	4	4.25
Rijeka Carnival	Rijeka	Croatia	Europe	2026-02-07	2026-02-25	5	5	3	3	4
Rio Carnival	Rio de Janeiro	Brazil	South America	2026-02-13	2026-02-21	5	5	5	5	5
Rock am Ring	Nuerburg	Germany	Europe	2026-06-05	2026-06-07	5	5	2	4	4
Rockwave Festival	Athens	Greece	Europe	2026-07-04	2026-07-06	5	5	2	4	4
Romaria de Nossa Senhora d'Agonia — Viana do Castelo	Viana do Castelo	Portugal	Europe	2026-08-20	2026-08-24	4	5	5	3	4.25
Romeria del Rocio	Almonte	Spain	Europe	2026-05-30	2026-06-01	3	4	5	4	4
Rose Festival	Kazanlak	Bulgaria	Europe	2026-05-30	2026-06-05	3	5	4	2	3.5
Roskilde Festival	Roskilde	Denmark	Europe	2026-06-27	2026-07-04	5	5	2	4	4
Rotterdam Summer Carnival	Rotterdam	Netherlands	Europe	2026-07-26	2026-07-26	5	5	3	4	4.25
Sagra del Tartufo Alba	Alba	Italy	Europe	2026-10-09	2026-10-11	3	4	4	4	3.75
Saint Lucia Festival	Helsinki	Finland	Europe	2026-12-13	2026-12-13	2	5	4	2	3.25
Salzburg Festival	Salzburg	Austria	Europe	2026-07-18	2026-08-31	2	5	5	4	4
Sami Easter Festival Kautokeino	Kautokeino	Norway	Europe	2026-04-02	2026-04-06	2	4	5	2	3.25
Sami Reindeer Migration Celebrations	Kautokeino	Norway	Europe	2026-04-15	2026-04-25	2	4	5	2	3.25
San Fermín — Pamplona	Pamplona	Spain	Europe	2026-07-06	2026-07-14	5	5	5	5	5
San Juan Bonfires (Hogueras) — Alicante	Alicante	Spain	Europe	2026-06-20	2026-06-24	5	5	4	4	4.5
Santa Marija Feast Victoria Gozo	Victoria	Malta	Europe	2026-08-09	2026-08-15	4	5	5	3	4.25
Santos Populares Lisbon	Lisbon	Portugal	Europe	2026-06-12	2026-06-13	5	4	4	4	4.25
Sânziene Festival	Bucharest	Romania	Europe	2026-06-24	2026-06-24	3	4	5	2	3.5
Sarajevo Film Festival	Sarajevo	Bosnia and Herzegovina	Europe	2026-08-14	2026-08-22	3	4	5	3	3.75
Sardine Festival	Portimao	Portugal	Europe	2026-08-07	2026-08-11	4	4	3	3	3.5
Sauna Day	Helsinki	Finland	Europe	2026-06-27	2026-06-27	2	2	4	2	2.5
Scarlet Sails	Saint Petersburg	Russia	Europe	2026-06-20	2026-06-21	4	5	3	4	4
Schaferlauf Markgroningen	Markgroningen	Germany	Europe	2026-07-24	2026-07-26	3	4	5	2	3.5
Scoppio del Carro	Florence	Italy	Europe	2026-04-05	2026-04-05	3	5	5	4	4.25
Sea Dance Festival	Budva	Montenegro	Europe	2026-08-28	2026-08-30	5	4	2	4	3.75
Sechseläuten — Zürich	Zurich	Switzerland	Europe	2026-04-13	2026-04-20	3	4	4	3	3.5
Semana Santa — Seville	Seville	Spain	Europe	2026-03-29	2026-04-05	1	5	5	5	4
Sighisoara Medieval Festival	Sighisoara	Romania	Europe	2026-07-22	2026-07-26	3	4	5	3	3.75
Signal Festival	Prague	Czech Republic	Europe	2026-10-16	2026-10-19	2	5	3	4	3.5
Sinjska Alka	Sinj	Croatia	Europe	2026-08-09	2026-08-11	3	4	5	2	3.5
Sinterklaas Intocht Amsterdam	Amsterdam	Netherlands	Europe	2026-11-15	2026-11-15	3	4	3	4	3.5
Song and Dance Celebration	Tallinn	Estonia	Europe	2026-07-03	2026-07-06	3	5	5	3	4
Songkran	Bangkok	Thailand	Asia	2026-04-13	2026-04-15	5	4	4	4	4.25
St. Dominic's Fair	Gdansk	Poland	Europe	2026-07-25	2026-08-16	3	4	3	4	3.5
St. Patrick's Festival — Dublin	Dublin	Ireland	Europe	2026-03-14	2026-03-17	5	4	5	5	4.75
Surva (Kukeri) — Pernik	Pernik	Bulgaria	Europe	2026-01-24	2026-01-26	3	5	5	2	3.75
Swedish Midsummer	Stockholm	Sweden	Europe	2026-06-19	2026-06-20	4	4	5	3	4
Sziget Festival — Budapest	Budapest	Hungary	Europe	2026-08-12	2026-08-17	5	5	3	5	4.5
Tallinn Medieval Days	Tallinn	Estonia	Europe	2026-07-10	2026-07-12	2	4	5	3	3.5
Tamborrada San Sebastian	San Sebastian	Spain	Europe	2026-01-20	2026-01-20	4	4	5	3	4
Tbilisoba	Tbilisi	Georgia	Europe	2026-10-17	2026-10-18	4	5	5	3	4.25
Tomorrowland — Boom	Boom	Belgium	Europe	2026-07-17	2026-07-26	5	5	2	5	4.25
Torres Vedras Carnival	Torres Vedras	Portugal	Europe	2026-02-12	2026-02-17	5	5	4	3	4.25
Transhumance Provence	Saint-Remy-de-Provence	France	Europe	2026-05-25	2026-05-25	2	4	4	3	3.25
Ultra Europe Split	Split	Croatia	Europe	2026-07-10	2026-07-12	5	5	2	5	4.25
Umbria Jazz Festival	Perugia	Italy	Europe	2026-07-10	2026-07-19	4	4	4	4	4
Untold Festival — Cluj-Napoca	Cluj-Napoca	Romania	Europe	2026-08-06	2026-08-09	5	5	2	4	4
Up Helly Aa — Lerwick	Lerwick	United Kingdom	Europe	2026-01-27	2026-01-27	3	5	5	3	4
Uzgavenes Vilnius	Vilnius	Lithuania	Europe	2026-02-17	2026-02-17	4	5	5	3	4.25
Valkenburg Christmas Markets	Valkenburg	Netherlands	Europe	2026-11-28	2026-12-23	3	4	3	4	3.5
Venice Carnival	Venice	Italy	Europe	2026-01-31	2026-02-17	3	5	5	5	4.5
Victory Day Grand Harbour Regatta	Senglea	Malta	Europe	2026-09-08	2026-09-08	3	5	4	3	3.75
Vienna Ball Season	Vienna	Austria	Europe	2026-01-15	2026-02-25	2	5	4	4	3.75
Vychodna Folklore Festival	Vychodna	Slovakia	Europe	2026-07-02	2026-07-04	4	4	5	2	3.75
Vyshyvanka Day	Kyiv	Ukraine	Europe	2026-05-21	2026-05-21	2	4	5	2	3.25
Wacken Open Air	Wacken	Germany	Europe	2026-07-29	2026-07-31	5	5	2	3	3.75
Walpurgisnacht Harz	Thale	Germany	Europe	2026-04-30	2026-05-01	4	5	4	3	4
White Nights Festival	Saint Petersburg	Russia	Europe	2026-05-21	2026-07-21	3	5	5	4	4.25
Wife Carrying Championships	Sonkajarvi	Finland	Europe	2026-07-03	2026-07-04	5	3	2	3	3.25
Zejtun St Gregory Feast	Zejtun	Malta	Europe	2026-07-10	2026-07-14	4	5	4	3	4
Zundert Flower Parade	Zundert	Netherlands	Europe	2026-09-06	2026-09-06	2	5	3	3	3.25
Þorrablót — Reykjavík	Reykjavik	Iceland	Europe	2026-01-23	2026-01-25	3	3	5	2	3.25
